airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-05-18,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,8603
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10539
Air India,2019-05-18,Delhi,Cochin,10:00:00,07:40:00,1300,1.0,No Info,8372
Jet Airways,2019-05-09,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,15554
Indigo,2019-04-27,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,7160
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,In-flight meal not included,9314
Indigo,2019-05-15,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Jet Airways,2019-04-01,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,8529
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Jet Airways,2019-03-06,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,17024
Spicejet,2019-06-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Air India,2019-06-18,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,7064
Multiple Carriers,2019-06-27,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7198
Indigo,2019-04-09,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Air Asia,2019-04-18,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4409
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Indigo,2019-03-01,Delhi,Cochin,04:55:00,21:20:00,985,2.0,No Info,10278
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,18371
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No Info,13292
Indigo,2019-05-18,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,10844
Air India,2019-05-09,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,10203
Jet Airways,2019-04-09,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,11546
Air India,2019-03-03,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,10216
Air India,2019-06-24,Delhi,Cochin,10:55:00,07:40:00,1245,2.0,No Info,11753
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Indigo,2019-06-27,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,6582
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,12537
Indigo,2019-06-06,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,16079
Air India,2019-05-18,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Indigo,2019-06-24,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-03-15,Banglore,New Delhi,14:05:00,08:15:00,1090,1.0,In-flight meal not included,9134
Jet Airways,2019-06-09,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,10577
Spicejet,2019-06-18,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Indigo,2019-03-24,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,4777
Indigo,2019-03-21,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,5406
Vistara,2019-06-24,Chennai,Kolkata,07:45:00,10:00:00,135,0.0,No Info,3687
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1.0,No Info,13759
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4995
Indigo,2019-04-01,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6284
Air India,2019-05-01,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7452
Indigo,2019-06-03,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,11841
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,12692
Indigo,2019-06-06,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,6582
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,4812
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14781
Indigo,2019-04-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4174
Goair,2019-06-03,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,6976
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,In-flight meal not included,7308
Jet Airways,2019-06-03,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,5769
Spicejet,2019-06-15,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,10051
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,23:35:00,1025,1.0,No Info,14571
Goair,2019-04-24,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No Info,3873
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,15:15:00,570,1.0,In-flight meal not included,7832
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Vistara,2019-04-27,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,5613
Indigo,2019-06-01,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,6064
Air Asia,2019-04-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,4842
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,8610
Air India,2019-05-09,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No Info,14781
Air India,2019-05-18,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11972
Vistara,2019-04-27,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6216
Jet Airways,2019-03-01,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,18308
Jet Airways,2019-03-03,Delhi,Cochin,23:05:00,18:50:00,1185,1.0,No Info,18253
Vistara,2019-03-21,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,5613
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,4777
Air India,2019-03-24,Kolkata,Banglore,20:30:00,16:15:00,1185,1.0,No Info,12173
Indigo,2019-03-18,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No Info,4148
Air India,2019-06-12,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,12723
Indigo,2019-03-21,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,5198
Multiple Carriers,2019-06-12,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,11667
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Multiple Carriers,2019-06-06,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,12524
Vistara,2019-06-27,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,12121
Indigo,2019-03-27,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,10844
Indigo,2019-05-06,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,15:30:00,910,1.0,No Info,23170
Vistara,2019-04-21,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,19:45:00,2245,2.0,In-flight meal not included,9296
Vistara,2019-04-09,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,No Info,14571
Multiple Carriers,2019-03-06,Delhi,Cochin,10:45:00,19:15:00,510,1.0,No Info,15077
Vistara,2019-06-24,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Air India,2019-03-18,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No Info,11885
Air India,2019-05-12,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6327
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Multiple Carriers,2019-05-18,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,8476
Indigo,2019-03-15,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4148
Goair,2019-03-01,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,13663
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
Indigo,2019-03-21,Delhi,Cochin,07:30:00,13:20:00,350,1.0,No Info,9861
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,12373
Jet Airways,2019-06-12,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Jet Airways,2019-06-15,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Air Asia,2019-06-12,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,10262
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,05:05:00,900,1.0,No Info,13555
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2385
Indigo,2019-06-01,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air India,2019-03-06,Banglore,New Delhi,08:15:00,22:55:00,880,2.0,No Info,13942
Air India,2019-03-03,Banglore,New Delhi,07:30:00,10:50:00,1640,2.0,No Info,12074
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,15058
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,9548
Indigo,2019-05-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,18:45:00,1345,1.0,No Info,12102
Indigo,2019-06-01,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Air India,2019-05-24,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,15170
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Indigo,2019-05-09,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air Asia,2019-06-06,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,11410
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13727
Air India,2019-06-03,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Spicejet,2019-05-06,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air India,2019-03-06,Mumbai,Hyderabad,13:30:00,16:55:00,205,2.0,No Info,18797
Goair,2019-03-24,Kolkata,Banglore,16:25:00,00:05:00,460,1.0,No Info,10198
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3311
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Multiple Carriers,2019-03-03,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,8552
Air India,2019-05-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Air India,2019-06-24,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9443
Jet Airways,2019-05-12,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Indigo,2019-03-24,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,4752
Spicejet,2019-04-21,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Jet Airways,2019-04-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Jet Airways,2019-03-06,Mumbai,Hyderabad,20:45:00,16:50:00,1205,1.0,No Info,19595
Air India,2019-05-15,Kolkata,Banglore,10:00:00,13:45:00,1665,2.0,No Info,16057
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,No Info,11869
Jet Airways,2019-06-15,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,10262
Spicejet,2019-05-15,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,5409
Indigo,2019-04-27,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No Info,5021
Air India,2019-05-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,8425
Indigo,2019-06-18,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Air India,2019-03-12,Banglore,New Delhi,07:30:00,11:05:00,1655,2.0,No Info,11602
Indigo,2019-06-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,6316
Jet Airways,2019-06-06,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Vistara,2019-04-24,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,10368
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,7888
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,9397
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Air India,2019-03-24,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,7276
Indigo,2019-06-01,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Indigo,2019-03-06,Delhi,Cochin,11:55:00,21:20:00,565,2.0,No Info,6610
Indigo,2019-04-12,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4990
Air India,2019-03-03,Banglore,New Delhi,19:10:00,10:35:00,925,2.0,No Info,13355
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2.0,No Info,12347
Jet Airways,2019-06-09,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No Info,14924
Jet Airways,2019-03-21,Delhi,Cochin,15:00:00,18:50:00,1670,1.0,No Info,12767
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,In-flight meal not included,8824
Jet Airways,2019-06-01,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Indigo,2019-05-12,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Indigo,2019-06-15,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Indigo,2019-03-27,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,4148
Jet Airways,2019-04-06,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,5406
Air India,2019-03-24,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,2575
Spicejet,2019-06-06,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,5583
Indigo,2019-04-01,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,In-flight meal not included,8586
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,8266
Jet Airways,2019-04-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Air India,2019-03-03,Banglore,New Delhi,17:25:00,08:45:00,920,2.0,No Info,11570
Air India,2019-05-24,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Indigo,2019-06-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,No Info,13941
Indigo,2019-03-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,13999
Indigo,2019-04-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Spicejet,2019-06-06,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,8224
Goair,2019-05-21,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No Info,5842
Spicejet,2019-04-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12898
Indigo,2019-05-15,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,7503
Jet Airways,2019-04-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Indigo,2019-05-15,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Air India,2019-05-18,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9863
Jet Airways,2019-06-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,21:20:00,1350,1.0,No Info,17471
Air India,2019-06-06,Kolkata,Banglore,08:20:00,18:30:00,610,2.0,No Info,10697
Indigo,2019-06-27,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,5894
Spicejet,2019-04-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Goair,2019-03-01,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No Info,18558
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,11:25:00,840,1.0,No Info,17261
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,8614
Air India,2019-06-24,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13381
Air Asia,2019-06-12,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Air India,2019-06-24,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,9443
Air India,2019-04-24,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,10262
Indigo,2019-06-09,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6416
Air India,2019-03-15,Banglore,New Delhi,05:50:00,22:10:00,980,2.0,No Info,9796
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Spicejet,2019-03-27,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No check-in baggage included,3815
Multiple Carriers,2019-06-03,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7354
Indigo,2019-05-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-04-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Spicejet,2019-03-24,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No Info,2753
